time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068472061,4.65765,-6.90574,-1.27969,0.00339687,-0.0105865,0.637782,-0.770137,0,0,0,0,0,0,0
1634068472161,4.62032,-6.99578,-1.27984,0.00323247,-0.0109252,0.637782,-0.770132,0,0,0,0,0,0,0
1634068472261,4.57976,-7.08762,-1.28,0.00302858,-0.0111059,0.637783,-0.77013,0,0,0,0,0,0,0
1634068472361,4.53837,-7.17578,-1.28017,0.00280594,-0.0110903,0.637786,-0.770129,0,0,0,0,0,0,0
1634068472461,4.49501,-7.26295,-1.28031,0.00257226,-0.0108922,0.63779,-0.770129,0,0,0,0,0,0,0
1634068472561,4.44973,-7.34913,-1.28043,0.00233675,-0.0105285,0.637793,-0.770132,0,0,0,0,0,0,0
1634068472661,4.40118,-7.43689,-1.28051,0.00210103,-0.0100117,0.637799,-0.770135,0,0,0,0,0,0,0
1634068472761,4.35231,-7.5211,-1.28054,0.00188517,-0.00940003,0.637804,-0.770139,0,0,0,0,0,0,0
1634068472861,4.30183,-7.6044,-1.28053,0.00168571,-0.008706,0.637809,-0.770143,0,0,0,0,0,0,0
1634068472961,4.24988,-7.68683,-1.28046,0.0015048,-0.00795509,0.637814,-0.770148,0,0,0,0,0,0,0
1634068473061,4.19495,-7.77094,-1.28035,0.00134263,-0.00720624,0.637819,-0.770151,0,0,0,0,0,0,0
1634068473161,4.1404,-7.85183,-1.28023,0.00118683,-0.00728229,0.63782,-0.77015,0,0,0,0,0,0,0
1634068473261,4.08464,-7.93196,-1.28013,0.00100605,-0.00788257,0.637818,-0.770146,0,0,0,0,0,0,0
1634068473361,4.02588,-8.01363,-1.28008,0.000785337,-0.00870873,0.637815,-0.77014,0,0,0,0,0,0,0
1634068473461,3.96747,-8.0919,-1.28008,0.000542558,-0.00952384,0.637812,-0.770133,0,0,0,0,0,0,0
1634068473561,3.90762,-8.16905,-1.28013,0.000278983,-0.0102519,0.63781,-0.770125,0,0,0,0,0,0,0
1634068473661,3.84625,-8.24495,-1.28023,4.56035e-06,-0.0108414,0.637808,-0.770119,0,0,0,0,0,0,0
1634068473761,3.78138,-8.32174,-1.28037,-0.00027818,-0.0112804,0.637808,-0.770113,0,0,0,0,0,0,0
1634068473861,3.7168,-8.39479,-1.28053,-0.000541888,-0.0115381,0.637808,-0.770109,0,0,0,0,0,0,0
1634068473961,3.65062,-8.46632,-1.28071,-0.000786654,-0.0116385,0.63781,-0.770105,0,0,0,0,0,0,0
1634068474061,3.58285,-8.53628,-1.28088,-0.000988383,-0.0115423,0.637812,-0.770105,0,0,0,0,0,0,0
